"index"	"name"	"continent"	"added_on_mm_dd_yyyy"	"link"	"application_deadlines"	"note_tenure_track_only_there_is_another_work_sheet_for_ntt"	"x1st_round_notice"	"email_phone"	"how_many"	"track"	"x2nd_round_notice"	"email_phone_2"	"number_in_2nd_round"	"track_2"	"comment_virtual_or_onsite"	"number_positions"	"offers_made"	"accepted"	"declined"	"who_took_the_offer_congrats"	"note_1"	"note_2"	"note_3"	"note_4"	"note_5"	"note_6"	"note_7"	"note_8"	"note_9"	"note_10"	"note_11"	"note_12"	"first_round_sent_percent"	"job"	"first_round"	"flyout"	"website"
"1"	"University of North Florida"	NA	"03/19/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178731407&Title=Assistant%20Professor%20of%20Marketing"	"unspecified"	""	"07/17/2024"	"Email/ Phone"	"3"	"CB(2)"	"09/13/2024"	"phone"	"3"	""	""	"2"	"3"	"1"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"2"	"Texas A&M University Kingsville"	NA	"03/29/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178741815&Title=Open%20Rank%20%28Tenure%2DTrack%29%20Professor%20%2D%20Management%2C%20Marketing%2C%20and%20General%20Business"	""	"This is a 9-month job"	"08/15/2024"	"Email"	"4"	"Quant(2) 
CB(2)"	"09/03/2024 09/04/2024"	"Email "	"2"	"CB (2)"	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"4"	"Harvard Business School"	NA	"04/29/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178731407&Title=Assistant%20Professor%20of%20Marketing"	"07/08/2024"	"Link not available anymore."	"07/26/2024"	"Email"	"6"	"Quant (3)
CB (3)"	"08/21/2024"	""	"4"	"Quant (1)
CB (3)"	""	"1"	"3"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"5"	"Elon University "	NA	""	""	"unspecified "	"Assistant Professor of Marketing; Pay: $118,000 <<Link doesn't work, position might be deleted"	"09/03/2024"	"Email "	"Rejection"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
"6"	"Missouri Western State University"	NA	"05/10/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178786795&Title=Assistant%20Professor%20of%20Marketing"	"05/23/2024"	"Start Date:08/15/2025-->This position was deletetd on June 3, 2024"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"10"	"Marist College"	NA	"05/13/2024"	"https://careers.marist.edu/cw/en-us/job/493643?&lApplicationSubSourceID=11250"	"06/10/2024"	"$64,790 -$120,000 (position filled)"	""	""	""	" "	""	""	""	""	""	"0"	""	""	""	""	"Got an email that the position is filled (July 15)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.marist.edu"
"11"	"Emory University"	NA	"05/14/2024"	"https://apply.interfolio.com/146089"	"07/15/2024"	"multiple open positions"	"07/26/2024
08/02/2024"	"Email"	"7"	"CB (5)
Quant (2)"	"08/28/2024"	"Email"	"3"	"CB(1)
Quant (2)"	"onsite"	"1"	"2"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"14"	"University of Alabama"	NA	"05/18/2024"	"https://careers.ua.edu/jobs/assistant-professor-of-marketing-marketing-strategy-523694-tuscaloosa-alabama-united-states"	"Mid June"	"Strategy; Deadline in website says Aug 1 < Heard they are planning to meet next week (week of 7/15)"	"07/17/2024"	"Email"	"4"	"Quant (4)"	""	""	""	""	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.ua.edu"
"15"	"University of Alabama"	NA	"05/18/2024"	"https://careers.ua.edu/jobs/assistant-professor-of-marketing-consumer-behavior-behavioral-research-523696-tuscaloosa-alabama-united-states"	"Mid June"	"CB; Deadline in website says Aug 1 < Heard they are planning to meet next week (week of 7/15)"	"07/17/2024"	"Email"	"8"	"CB (8)"	"08/14/2024"	"Phone"	"3"	"cb(3)"	"onsite"	"1"	"1"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.ua.edu"
"16"	"Virginia Commonwealth University"	NA	"05/18/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178794792&Title=Assistant%20%2F%20Associate%20Professor%2C%20Marketing"	"unspecified"	"Review begin immediately, salary starts $145,000/ prefer people who can teach strategy course from one of the faculty I known"	"07/30/2024"	"Email"	"13"	"Quant (5)
CB (8)"	"09/03/2024"	"Email"	"5"	"CB (5)"	"onsite"	"2"	"2"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"18"	"Embry-Riddle Aeronautical University"	NA	"05/20/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178795798&Title=Tenure-Track%20Assistant%20Professor%20in%20Marketing%2C%20O%27Maley%20College%20of%20Business"	""	"The starting date for this position is Spring 2025"	"09/11/2024"	"Email"	"2"	"CB (1)
Quant (1)"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"21"	"University of Texas at Austin"	NA	"04/25/2024"	"https://jobs.chronicle.com/job/37646063/assistant-associate-or-full-professor-of-marketing/"	"08/31/2024"	"From 2023 Job Posting tab: \"They are not hiring. They post this every year\" < 08/11/24 \"This job has expired\""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"23"	"Worcester State University"	NA	"05/01/2024"	"https://jobs.chronicle.com/job/37647335/assistant-professor-of-marketing/"	"unspecified"	"Expired?"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"24"	"St. Mary's University"	NA	"05/22/2024"	"https://jobs.careerbeacon.com/details/tenuretrack-faculty-position--department-of-marketing/2050074?utm_source=Saint+Mary%27s+University+-+Faculty+Employment+Opportunities&utm_medium=widget&utm_campaign=refer&utm_content=2050074&utm_term=jobtitle"	"08/01/2024"	"Broken link? < Not broken, I successfully applied"	"08/05/2024"	"Email"	"2"	"CB (2)"	"09/25/2024"	"Email"	"2"	"CB (2)  "	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.careerbeacon.com"
"25"	"Northwestern University"	NA	"05/25/2024"	"https://facultyrecruiting.northwestern.edu/apply/MjE0MA=="	"07/08/2024"	"Kellogg School of Management, Northwestern University has one or more full-time positions open in the Marketing Department at the rank of Assistant Professor for academic year 2024-2025. <- Typo, they meant 2025-2026"	"07/30/2024  08/01/2024"	"Email"	"14"	"CB (10)                      Quant (4)"	"08/14/2024  08/15/2024 09/04/2024"	"Phone / Email"	"8"	"CB(5) 
Quant (3) rejection (1)"	"onsite"	"0"	""	""	""	"not making an offer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://facultyrecruiting.northwestern.edu"
"26"	"The University of Iowa"	NA	"05/25/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178801975&Title=Assistant%20Professor%20of%20Marketing%20(tenure-track)"	"07/01/2024"	""	"08/02/2024"	"Email"	"10"	"CB (6)
Quant (4)"	"08/26/2024"	"Email"	"8"	"Quant"	"onsite"	"1"	"2"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
